-5200,2412.3,-577.76,3137.9,1345.3,-2801,-4854.5,-4019.7,-220.04,-4622.5,5184.7,2552.5,1039.2,5054.8,4580,5682.9,3016.8,5530.8,3509.6,3587.5,6180.5,3648.2,3731,4366,2928.7,-5763,-2262,5465.2,6140.1,5166.1
1859,4441,-1664,2438.1,-812.85,23.641,3404.8,-132.69,1695.5,808.1,1154.8,3957.7,4394.1,3027.2,3372.2,2702.6,4409.5,4707.2,1703.6,4039.2,1998,-1516.4,-1524.7,2879,-359.45,5748,6596.8,2935.8,484.02,4240.8
-2969.2,1447.9,3408.5,-30.012,1786.5,-2913.9,-464.5,-1985.5,-4752.7,882.58,-1826.5,-3405.7,-581.19,1222.2,-338.79,-245.91,-939.5,-1504.7,-5069.7,-407.62,-223.49,-380.59,-738.35,-891.02,-1118.6,779.72,239.4,-2995.6,-332.81,1090.9
2764.1,63.025,1788.8,-3196.5,27.963,2020.6,1116.7,-687.81,183.03,875.15,912.35,983.54,-4819.7,3490.4,1135,1745.8,688.56,880.6,1509.7,828.59,677.14,413.83,1320.8,969.38,-1273.5,1273.6,716.42,1348.1,-63.516,2999.4
-2788.9,249.96,-3760.7,-1531.8,-740.19,-1180.9,-3112.5,-1829.3,415.96,-3591,-889.74,-3374.9,-5048.7,-2391.7,-2584.4,-1594.2,-3878.1,-2336.4,-4915.1,-3112.8,-1504,-2101.9,-4669.9,-2523.8,-2341.7,-3431.1,-792.92,-2741.3,-3439.5,-3292.1
-2999.4,-2864.2,-2821.1,-5524.1,-4372.7,-4956.9,-2115,-3558.2,-2743.2,-2252.8,-921.95,-3982.1,-775.69,-1817.2,-3550.1,-2993,-4841.9,-4066.9,-3533.5,-4705,-3482.4,-4713.3,-4915.4,-4167,-5742.6,-6413.6,-4915.2,-4212.4,-4345.6,-3865.5
-9548.1,-10338,-9820.2,-8097,-11411,-9101,-9877.6,-10039,-10067,-9498.4,-10747,-11736,-9044.7,-8890.9,-11319,-9043.8,-12677,-8169.7,-8525.7,-12301,-9135.7,-8846.6,-8937.3,-11336,-10121,-9847.5,-7452.1,-8526.4,-9282.7,-8241.5
-1952.8,42.725,-2438,-2625.3,682.61,-3698.9,-2013.6,-1853.1,-2548,-1935.8,-2494.2,-2395.8,-2557,-3348.2,-2336.5,-266.66,-2697.3,-2219.1,964.68,-2511.3,-1560.1,-3625.2,-755.79,-2144.3,-3528.8,-1059.9,-1636.8,-1666.1,-1045.6,-3786.6
1421.9,2025.8,3170.3,4551.7,1572.9,4029.9,3368.2,2476.5,1636,1762.3,3061.8,2899.8,1876.2,2103.2,3126.1,1232.1,2943.6,1753.3,2158.8,2859.7,3234.1,2932.6,3478.8,2918.9,-1944.4,1695.2,3154.4,2542.7,2860.3,790.28
2066,20.175,1403,3574.5,833.24,-1654.4,1450.6,2365.6,3055.1,3884.7,2156.2,1700.4,-79.012,1296,2069.6,2624.2,2160,1078.7,2157.2,2379.6,1710.6,2096.5,2147.2,2042.7,1534.3,916.57,3024.5,203.68,1230,2216
